path,transcript,duration,transcript_pred,pred_strings_with_ctc,pred_strings_with_lm
914ebfaf3ea9a8504de87e55ccae7d56.wav,tak masuk dalam mulut kita nak makanan yang masuk dalam mulut sukatan kita manfaatkan benda tersebut,5.702,tak masukdlah bulut kita nak makanan ya masuk dah mulut kita yang kita manfaatkan benda tersebut,tak masukdlah bulut kita nak makanan ya masuk dah mulut kita yang kita manfaatkan  benda tersebut,aea anak ma suk alah bu lut eki tak ksea mamaea aea a ae kenak mama mamak kanan nyang mak suk dah mu lut ki ta yang ki ta emana fak ha t akan makan benda ter se but nananan
d1ae824f2a01214b34418262c34f2424.wav,sebab sebab ramai tanya dalam tu perkongsian bagus tapi kalau boleh ada pitih sebab insya allah kepada cik,6.526,sebab sebab rama yang tanya dalam tu perkongsiana bagus tapi kalau boleh nak lebih detal sebab insya allah kepada cik,sebab sebab rama yang tanya dalam tu perkongsiana bagus tapi kalau boleh nak lebih detal sebab insya allah kepada cik,sase ese bab aea eta se bab ra ma yang tanya da lam ituk laham meme e e e e per kong si yan an ban gus s ta pir ka lau boleh nak ler bih dere tail se bab kpa eae etin sya alah ake pa da chikui
766a06c6e03bd068c5be46e8709bb983.wav,termasuk mereka ini mesti mereka mendapat bimbingan mereka perlu bimbingan mereka boleh bertemu dengan rakan rakan kita,6.49,semasa mereka inimessi mereka mendapat bimbingan mereka perlu bimbingan mereka boleh bertemu dengan rakan rakan kita,semasa mereka inimesi mereka mendapat bimbingan mereka perlu bimbingan mereka boleh bertemu dengan rakan rakan kita,sa aese mak sah merek kan di ni mestika seasalnya nhanh amereka kan menda pat atla bi m bingan mere ka perlu bim bingan mere ka boleh ber ter mua dengan ran kan eran kan kia tah hatn
d152a78c77fc658e0bae6a33d4328339.wav,guru ayah saya berkata ayah saya memberikan perhatian kepada para muridnya,6.199,guru ayah saya berkat ayah saya memberikan perhatian kepada para muridnya,guru ayah saya berkat ayah saya memberikan perhatian kepada para muridnya,ka a aeka gun ruk kan yah sa yah kae bere kat ka yah sa yah amana a a a aea a aea aea adana a a mem a beri kan emper han tian ke pa da epa ra mu ri d nyang n
3a23cfd96b2a5e30d2b1cf64047dba3e.wav,kami nak bertaubat jadi saidina saidina abu bakar kata cuba sebutkan balik,6.314,kami nak bertaubat jadi saidinak saidina pubakar kata cuba sebutkan balik,kami nak bertaubat jadi saidinak saidina pubakar kata cuba sebutkan balik,kakak ka min nak aber tahu bat aea a e e e eae e e e e e aese e ja dik sesai dia naku oarang sai dia nak apun bang ka r kar tanh acu m mbah ese membut kan embah alik kan
88ac1ee71843ded0a35cc793f519fb0d.wav,besok buku ni makan gosok dia tu keluarlah buih daripada masa itu juga mereka akan basuh tangan,6.084,ci bisamun buku ini mereka gosok dia tu keluarlah buih daripada masa itu juga mereka akan basuh tangan,a bisamun buku ini mereka gosok dia tu keluarlah buih daripada masa itu juga mereka akan basuh tangan,mea ater ca yale apsa sea bilih sam mung bu akuk inia emereta goro sok adia ituk keluar alah saburi h ene nda andari pa da masa i tu ju gah senses e semere kan a kan mba suh tanganan
45ac88ef5d3ef87412b937949ffe9c4c.wav,ya kan sayang kata panggil kat dia dengan gelaran gelaran tersebut dia akan bagi dia kat whatsapp jahlah,5.324,ya kazaya katan panggil kat dia dengan gelaran gelarang tersebut dia kan bagi dia akan rasa macam na,ya kazaya katan panggil kat dia dengan gelaran gelarang tersebut dia kan bagi dia akan rasa macam na,aea andiang akan azar ayang akan tang pang gil kat dia dengan ege la rang ge la rang ter se but sadia akan eban gin suan didia ankan ran sak ma cam anak amamah h
9c3905b6453477c4e913c8293c5deb71.wav,sekolah yang baik yang inovatif dan kreatif jadi insya allah kita pada persidangan,6.233,mimpin sekolah yang baik yang inovatif dan kreatif jadi insya allah kita pada sesi yang akan,mimpin sekolah yang baik yang inovatif dan kreatif jadi insya allah kita pada sesi yang akan,mim piang ese kolah sese aenea ya a ng membaik sese eae ya a ng eri nor vat ti f endan kerea ti fe sene senja di in sya alah kekiralan epa da sele sin yang akana
0fe9b3a88b7512a758b15795640436d3.wav,wa tak ada bumi ini dah banyak rosak rosak hasil perbuatan,6.343,bhanah wa taala bumi ni dah banyak rosak rosak hasil perbuatan,bhanah wa ta ala bumi ni dah banyak rosak rosak hasil perbuatan,su bab harar na hu ua war tak al lanh eae eae eae e e ea bu min inin dah ebanyak bre roks sak pse eteros sak ahas sil la emese eae per bua ta ang naen
de8e1d441ce6594e724f8095cb14f049.wav,macam dalam kelas bila budak pendiam keluarkan satu lawak yang best satu kelas tak ada dia,6.531,macam dalam kelas bila budak pendiang keluarkan satu lawa yang best satu kelas tak ada reaktion,macam dalam kelas bila budak pendiang keluarkan satu lawa yang best satu kelas tak ada reaktion,aea eae eae e emak acam eda lam eke lahas ebi la bu dak epen dia ang keg keluar kan sa tu elan wak ayang bebes st ses s sesang tu ke la s etak ada ore ak tiong yin
b09a90a12ee679fc471b1162de9a9567.wav,itu bergantung pada orang ada nak buat standing macam mana kan betul pun tak apa okeylah,5.721,itu bergantung balin dia orang ada unak buat seni macam mana kan betul awau tak bula okeylah,itu bergantung balin dia orang ada unak buat seni macam mana kan betul awaau tak bula okeylah,kin tuk bergan tung balin dia orang a da bunak buat sesen ning ma cam ma nanh akan n ben tul la sese ekeke ekem pa war kar apu tak bulah anyang o key lah hahan
af80de5e50cf3bbe14be93b5067a5e19.wav,jadi yang tu tu kita rasa bangga jadi saya nampak kalau kita berusaha lagi,6.217,jadi yang tu tu kita rasa banggalah jadi saya nampak kalau kita berusaha lagi,jadi yang tu tu kita rasa banggalah jadi saya nampak kalau kita berusaha lagi,ma a ak amak ja dina ayang ituk ituk ki ta aran sa abang gal lah akta kalah ak ahang ja dinha sks sekata saya nam apa k kakak eka lau ki eta a ahah abe ruk sahan la gi ahen
296c32c94f037c503c10f29f4d2e628d.wav,baik apa bukti dia buat itulah aku hari isnin isnin,6.738,baik apa bukti dia wat ilah quhazalismi yadu luar la nisemua ni kaedah am,baik apa bukti dia wat itlah quhazalismi adu lurla nisemua ni kaedah am,aea aea a aea aea balik man pan bunk tinh diah asama aea aea amapa what yi tu lah h akur han rn thal lis se minit askiah dul elu ar hal laike seama nik se muah anik akat hen da h ajam tang nanan
6c469f8776bed06339222dfb4c26518a.wav,cuba hang bimbing anak anak hang tengok bila faham bagaimana hang,5.007,cuba hang bimbing anak anak hang tengok bila hang faham bagaimana hang,cuba hang bimbing anak anak hang tengok bila hang faham bagaimana hang,tatakae cu mba hang abi m bing ka nak a nak ahang ete ngok pea eae aea aea bia lah hang ase fan ha mg eba gai ma nanh aha ng seseu
61b5a979026e961ab202e4ae05628ccf.wav,dan kemudian nilai to nilai kesedaran,3.151,dan kemudian nilai tu nilai kesedaran,dan kemudian nilai tu nilai kesedaran,kakada adan ke mu dian eni l la i ituk eni la i keke se da a ra ananana
814de592caf4911beb7d4f31515f2477.wav,allah mengetahui sebelum semasa dan akan datang apa yang akan berlaku kepada diri kita,5.382,allah mengetahui sebelum semasa dak akan datang apayang akan berlaku kepada diri kita,allah mengetahui sebelum semasa dak akan datang apayang akan berlaku kepada diri kita,ta a a a asa a a ahal alah mengen ta hu win se ber lu m ese maha sah adak a kan da tang am pa yang akan berlan kun ke pa da dia rin ki takha
1db5ce8eb66e43084c998281a59da280.wav,mendapatkan tu saya tak tahulah,3.165,mendapon tuan atu sa kata tak ja hurai,mendapon tuan atu sa kata tak ja hurai,aea a a a a a kamen da a porun tukan shang tuk sa ka tan tak ajah hu ra ie hahahahahahahahah
cbf48ae32680e616b348f0655221c242.wav,tahniah kepada semua yang terlibat dalam membina bersama dengan timbalan ketua pengarah,6.708,dan selamat rata pada semua yang terlibat dalam bebina bersama dengan timbalan ketua pengarah,dan selamat rata pada semua yang terlibat dalam bebina bersama dengan timbalan ketua pengarah,berkak i tuwu dan yah aser la mat se rar tar kepa da ese mua yang terlibat stea athana da la m mem bead bi nar ber sa man dengan etim ba lan kene eae eae eke tuan penga ra hahan
9fbc533e0167ad34ee133852586a10c7.wav,bukan kamu pandai kamu sombong dan sebagainya kerana kamu mengambil kan nak mengambil barokah yang ada pada mulut orang tua tu,6.76,bukan kamu kerana kamu sombong dan sebagainya kerana kamu mengambilkan nak mengambil barokah yang ada pada mulut orang tua tersemua,bukan kamu kerana kamu sombong dan sebagainya kerana kamu mengambilkan nak mengambil barokah yang ada pada mulut orang tua tersemua,a aea e bun kan ka mun kerana kamu som bong dan sebagainya keran nak kan mun da mengambil kan kenak mengambi l meme ease embar rok kah yang ada pada mu lut korang untu wan teru semuat an
ad9575d2059cca2bc745d5ec89a6143d.wav,kalau tak ada orang jaga nama kenapa kau tak tahu kau ada masalah,6.23,takkau tak tahu lagi aku nak makan apa kau tak tahu akau ada masalah,takkau tak tahu lagi aku nak makan apa kau tak tahu akau ada masalah,apak atata a a a a a setak kau tak tahun la gi a ku nak mar kan a pak kakasa a a a a a aea a a a a a a aea a a a ak akau tak ta hun kasma kau ada ma sa l lah sasa asasamdang tang
a960e35e71b6e3962764b2a14e0ec0c0.wav,jadi sesi yang pertama dan juga sesi hari ini yang kedua,5.389,jadi sesi yang pertama dan juga sesi hari ini yang kedua,jadi sesi yang pertama dan juga sesi hari ini yang kedua,aea aea aea aea a a aek ja dih sese sink yang e per tan man dadan ju ga sese siha ha ri ini a a ayang eke du ar rh aiea iaea
a675adbaf53d29aed1dff4bd2eff6f5e.wav,ingat apa sahaja yang percaya secara mitos apa semua tu sebab hantar belajar sampai ha,6.193,jadi ingat apa sahaja yang percaya secara metas apa semua tu sebab hang tak belajar sampai habis,jadi ingat apa sahaja yang percaya secara metas apa semua tu sebab hang tak belajar sampai habis,aea aea aea aea aea a ek ja dia inga t aka pa saha ja ayang amper cah yahr sese ca ran memet tause span pan se mua ituk eae ese abab hang tak belan jar sampai hak abis
91bf3289b9f85e3e2710748757b5825a.wav,bangsa terdahulu dia melihat alam ni bukan dia melihat macam tu,5.823,bangsa terdahulu dia melihat alam ni bukan dia melihat macam tu,bangsa terdahulu dia melihat alam ni bukan dia melihat macam tu,keapa bang esar rk ae te r da hul luha kme eae aea aea aea aea adia men li hat kashal la m inia seme bu kan dia me li hat ma cam itu hahan
5b5230c80dcb66814606215d9b5602ad.wav,tubuh lembah hijau merah free tak ada sebutlah kerang bertaubat kepada allah taala,5.865,tubu ilallahi jami afrialah ta ala sebut lankurang bertahu buat dah kepada allah taala jamira,tubu ilallahi jami afri allah ta ala sebut lankurang bertahu buat dah kepada allah taala jamira,shak a turm buh hil lal ala h in jham mian haf fh riky y y y a al lah atak alah se but alang ku rang ber tahu buat dah kepa da alah tak alah a jam min arah kakanan anan
5a7329230c145af385ee37d829e88058.wav,memelihara hati pula daripada memikirkan kecantikan bagi al azim ahmad,6.33,memelihara hati pula daripada mmemikirkan kecantikan salialaz muhammad,memelihara hati pula daripada mmemikirkan kecantikan salialazi muhammad,aea e eme mer lin ahan ranh han tina epu lak dada ri epa dan mamat me mink gki r kan ke ker echan etik eka a a a a anan sesal lih al lah zing muham madan
7a9d6f07a94d8d34daa3bfef517477d4.wav,hang tidak terpengaruh dengan kedua duanya maka tidak ada lagi,6.589,hang tidak terpengaruh dengan kedua duanya maka tidak ada lagi,hang tidak terpengaruh dengan kedua duanya maka tidak ada lagi,kahang a a a a a ahang ti dak ater penga ruah adengan ke duan du an nyang smeasa a ama a a a a a a a a a a a emak kan ti dak a da ela g gi h iaei iaian anana
deb5e7fac0387792bcf8ba51ca2350c9.wav,boboiboy dan boboiboy,6.649,macam mana ba buat tu dan,macam mana baw buat tu dan,kaka akaka ambolo wboh hoho horo loroh akhir hi malalah emak cam mak nank abara buat itu h h hah kakada h h ang smpm mbwana h hahahahahahahahah
a5d0b119539d1bcce82f1e63598ba973.wav,jadi peluang untuk melihat atau bertanya bagaimana program ini dijalankan di peringkat kampus,6.368,jadi peluang untuk melihat atau bedu apa bagaimana program ini dijalankan diperig peringkat kampus,jadi peluang untuk melihat atau bedu apa bagaimana program ini dijalankan diperig peringkat kampus,sasatera ja di per lu ang un tuk mer li hat pka tau berdolak ahan pau asau e e a se bagai mana program minin di ja lang kan di pering ram seperi ng kat kam pus sekaean
f3c57d025df84ab64a86ad577ab73092.wav,aku banyak lalai aku ni banyak lupa aku ni banyak tinggal tu banyak,5.417,aku ni banyak lalai aku ni banyak lupa aku ni banyak tinggal tu banyak,aku ni banyak lalai aku ni banyak lupa aku ni banyak tinggal tu banyak,sekang a ku inia ebanyak lelah ela ai kekakang a ku inia ebanyak elu m m panh apang aku inia ebanyak ating gal itum beba nya kg natin
4b72f070e603144f701692cba6a96a07.wav,setan ini pandai,2.567,siatan ini pandai,siatan ini pandai,sese e syiar tan i nin epa n da a a a a aie haia atatana
4b069b93795fed0224b51095d76c87eb.wav,pusing lagi sampai tak ada benda yang boleh ganggu kan itu kan so akan cepat sampai,6.914,pusang lagi sampai tak ada benda yang boleh ganggu yan itukan so hang akan cepat sampai,pusan lagi sampai tak ada benda yang boleh ganggu yan itukan so hang akan cepat sampai,kepun syang la gi sam apai tetak andak aben dar yang boleh gang gun ayang peseta tekin tu akan sese ete ease s sesok akses kahang a kan e cherm pat sam pai eisei aea aea
ff9091e195404a2376fd4a26c3b91001.wav,dia tak busuk kalau tak jumpa pun tak apa ha main lagi bagus,5.986,dia tak husyurdah kalau tak jumpa pun tak apa hak man dia lagi bagus,dia tak husyurdah kalau tak jumpa pun tak apa hak man dia lagi bagus,a a a a a a adia etak khun syu org odah kake aea aea ea aea a a a ae e kal alau etak anju m a panh apun tak ampat aha k aema in dia la gin eba agu senaeai ananan
68d7ddad79f59640d548d66a14ff32ef.wav,tahu kena bawa balik tu kena penyapu tapi sebenarnya disebut xperia senang hidup dan bila aku sampai dekat,6.637,kat aku kena bawa baldi tu kena puny aku tapi sebenarnya isgut spr tenang hidup dan bila aku sampai dekat,ka aku kena bawa baldi tu kena puny aku tapi sebenarnya isgut spr tenang hidup dan bila aku sampai dekat,dini eae akat a ku kerna ba awak abal adiye tuh ekeke na punya a kupk eteta pi se benarnya yin se begude phase epie rane ter benang khin du pe sese dan abia lak a ku sam apai den kat mbua
e8237603ddaaec51bf62b2c6d8382553.wav,seorang budak,3.013,seorang budak,seorang budak,sese ea a a esme a e e e se orang meme mem bu da k hahahahahahahahahahaha
51ef474fd11d163de24d9d4cd39afe24.wav,kira dalam pergaduhan tu ha kita menang ha teruknya hak putih tapi bapak balqis,5.582,kira dalam pergaduhan tu haitam menang hateruknya ak putis tapi bapa balqis,kira dalam pergaduhan tu haitam menang hateruknya ak putis tapi bapa balqis,aea aea aea eki ran da lam perga du han ituk hak ris tang me na ng kenen ahang ten ruk nya hak apu ti s tete eteta pi ba apak abala aq is sesen
7af270704754513a1dac8e73c4df6649.wav,anak sekolah rendah terhadap orang nak solat penyebab mudah jadi,4.597,nak sekolah kendah puada po anak solahmenakda sebab murah jadi,nak sekolah kendah puada po anak solahmena ka sebab murah jadi,manak sekolah ken da h apu adar phol wme anak sekolah menyah kelpa adah se bab emu rah aese se e ja di ah hehe aea aea anataea
5d4295b4ba200056da8a5661afcaa0e0.wav,morris sorry murid murid bukan ahli ahli,5.461,moris sori mori moris bukil kan ali ahli,moris sori mori moris bukil kan ali ahli,aea a aea emor rise shor rise emor oris se sesesama aea ama aese mur ri s emu k il le kekan sesah ah alin nhk ahah alin h h hahahaha atatana
2f84edc6b235435808394e8d0fc9c684.wav,promote aku bah sini dekat masjid sunan kau leburkan,5.551,poran itukita macam kurang masak tu maksudnya dekat masih tulan kaa levelkan,poran itukita macam kurang masak tu maksudnya dekat masih tulan kaa levelkan,men targ pour rang dia tu ki tan ma cam kpk ake e a ae aea akama k a ku rang man sak atun mak su dnya den kat ma siah itu lang kau wang lend verl kang mamaea aea
2b5d21df5616b504ebb0f68fd6ee0274.wav,macam mana kalau kita kata bahawa dia tak bergerak selaju cahaya p99,6.505,macam mana kalau kita kata bahawa dia tak bergerak selaju cahat tapi 199,macam mana kalau kita kata bahawa dia tak bergerak selaju cahat tapi 199,eae e ema cam mak nah aka lau akir ta kar tar rh abah han wah adia etak aber ge rak se lan juh echan hart tak pirs sese m m 90 0 0 0 ese m 90an
5736a888b9c6b8277b59fa3695c7b0c1.wav,100 hari para pelajar kita tidak berada di sekolah itu juga guru guru kita yang happy,6.144,10 hari para pelajar kita tidak berada di sekolah dita juga guru guru kita yang hati,10 hari para pelajar kita tidak berada di sekolah dita juga guru guru kita yang mehati,berserat 0 s ha rin ha ekam pan ran pelan jar ki ta rhr ti da a ak kese e e e embera dan di seko lah pep bedi ta jug ga aha agu ru guru ki tah payang meng hat tisman
afbf7746d03801f84332f1e30e6f8413.wav,laki dia macam nilah itulah segala benda yang negatif atap selalu dia kata,6.42,laki dia macam nilah itulah segala benda yang negatif hantar lalu dekatt,laki dia macam nilah itulah segala benda yang negatif hantar  lalu dekatt,seme eae lelah kint idi ran ma cam ini ela h ari tu lah sese eae ae ese eser g gal la eben da yang ene ga ti f hang atar rg apama aea aea ahang lelah luh de kat tanan
ef7c87664c3d6ba7a1f570f9d35526fa.wav,eh dia nak balik ke makkah balik ke kata seorang ansar,5.038,idea nak balik ke makah balik ke kata seorang ansar,idea nak balik ke makah balik ke kata seorang ansar,aea aea aea aea abia de yam enak abah nali k ekeke mak ka h aban ali k ineke hrh kekar atan sero rang mahang ashar ruhana
638f580a98a1ed21b08149dacbd1d2ee.wav,bila kita mengekalkan sifat akan berada di dalam tempat,4.711,bila kita mengekalkan sifatkan berada di dalam tempat,bila kita mengekalkan sifatkan berada di dalam tempat,aea aea aea aea aea abil ala kir tan menger g ka al kan sesi fat kan mber a dahr adia da la m ete m epat ahanga
975482ad83a9c039b1e8704441884821.wav,ice in malaysia,6.07,fivt in malaysia,fivet in malaysia,tantakatan antat t t t t t t t t t t t t t t t t t t t e t t t tmt t t t st s s s s ses s ses sps sfar rive athey ye seting ma lay siyah hanhan
30ba667f3f5afee5e7bb052bea5b4332.wav,sihat,5.726,lah sihat,alah sihat,aea aea aea a akhar cik lua halah hah apa a a a a a abdilin lah a ah psa a a asia ha r at psp s spsk keming ran cam mars sinh dah tangjung atak takn
9e91b7af7fcf9cf1e2eb00afed800bd8.wav,macam babi sawi baik sekali soleh pun kalau saya macam tak betul jah kan semua nak balik,5.175,ba siatu hazi syahawi baik saari soleh pun kalau saya baca tak betul dia akan sunggula balik,ba siatu hazi syahawi baik saari soleh pun kalau saya baca tak betul dia akan sunggula balik,se ese esas sebak sin ap tul han zils sya hah win nrt semesa sese banik insya a ris s ole h apun ka lau saya ba cam tak bertul adia akan sung gu lang balik naean
770e49308b5eb4700235772d0c58d2b2.wav,ahmad helmi mula dia cakap tak 27 balik dari sabah kena kuarantin,5.957,pamael memula di cakap star 27 balik dari sabah kena kurenti,pamael memula di cakap star 27 balik dari sabah kena kurenti,ses esele panh m mart hil le memeng mu lah dia can ka ap psps sous tart 20 10 70 smsms mesme emba lik da ri per shab ba h ker nan la akua reng thing
e99a1e825939990076997f4c72490ce5.wav,adanya awek awek dia tak tahulah dia tak macam kau yang,4.495,ada ya awat apa dia tak berita wan ada,ada ya awat apa dia tak berita wan ada,tambelang stun m ma man a a han dak nyah hak wal ha pa dia tak beri tah awal ng pa an dak a dia sada taku man cam orang adia am kau yangn
6a57a163219bacd5a1ff7eb8726e637c.wav,bahasa melayu kita boleh bermula dari situ mungkin juga boleh bermula yang dekat,4.509,bahasa melayu kita boleh bermula resitu mungkin juga boleh bermula yang dekat,bahasa melayu kita boleh bermula resitu mungkin juga boleh bermula yang dekat,sepse baha sa melah ayuh eki ta boleh ber mu la rendi si itu wa akses ek mung kin nju ga boleh ber mu la yang der kat ata keanan
32df31f5d8a0ecee3744f8f1cebaf76f.wav,tapi jangan kata pula mungkin ada sesetengah ahli masyarakat ataupun golongan profesional akan ber,7.213,tapi jangan kata pula mungkin ada sesetengah ahlima syrakat ataupun golongan profesional akan,tapi jangan kata pula mungkin ada sesetengah ahlima syrakat ataupun golongan profesional akan,ka a teta pik laha jangan kar ta pu lanh anana mung kin ka dah haha anana a a a ese sentengah ahah li man syarah kat a tau pun debung per go longan prof fes sional a kan buran
5ae7b95e509d907d991c97edf8bd2e5c.wav,rumah dengan nabi sallallahu alaihi wasallam,6.786,rumah dengar keteligan nabi sallallahu alaihi wasaa volum nain nabi,rumah dengar keteligan nabi sallallahu alaihi wasaa volum nain nabi,aea aea aea aea aeru mah kamata a a a a a a a a a a a a a adengar kakern ter lingan na binh sesesama asa asal lal la hu al lai hih wa salman sase vol liom mena ine memes enan bisn
47171b6856b2cca0a4b8b485cad61ba8.wav,murid kita di hadapan dan kepentingan guru juga kita tak ketepikan tapi dalam surat ni,6.629,tingan murid kita dihadappan dan kepentingan guru juga kita tak ketepikan tapi dalam sulat ini,tingan murid kita dihadappan dan kepentingan guru juga kita tak ketepikan tapi dalam sulat ini,kentingan mu rid ki talala sest adia han da papa ng dmsm mamas sayang aste e a da dan ke pentingan gu ru ju ga ki ta etak ake ter pi ka an tet teta pi dah lam shalat ini naean
07e894268afc53747d57f744fcd7a011.wav,indah water,3.841,illa wakana,illa wakana,aea a a a a a a aska akhil l a a alah hrh aw art a k arl r rnr nar rh hahahahahahahahaha
1de26dcd083c5fd8fdc74d7defe49d41.wav,saya muliakan tuan imam tuan bilal,5.078,saya muliakan tuan imam tuan bilal,saya muliakan tuan imam tuan bilal,s a asa a a a a a a a s sayan mu liha akan menendang sese e es e e e e en tuan ki ma amg intu ang abil l aile nanananana
b44579ce9b00904a2a3ab429839d9347.wav,orang yang alim di antara apa kata ulama,5.681,orang yang alim di tadi apa kata ulama,orang yang alim di tadi apa kata ulama,a a a ko rang anyang hanh li me kendia tan dik sese seasa pak kan tak mun la mak ana aea atata anahata anahata hahahahahahahahahahahaha anahata aian
ec36a0aaed257f7a52f04a5d48ee36f3.wav,waktu semasa duit dalam bank tu tak ada jadi kahwin pakai duit dia,5.682,waktu saya cosong duit dalam bank tu tak ada jadi kahwin pakai duit dia,waktu saya cosong duit dalam bank tu tak ada jadi kahwin pakai duit dia,aea aea kawaki tu saya keco sorong end duit da lam aea baing itu tak a darah nenen n ja di a sene ek e kah wi n epa kai duit diah iease aetan
